letter;frequ
О;55414481
Е;42691213
А;40487008
И;37153142
Н;33838881
Т;31620970
С;27627040
Р;23916825
В;22930719
Л;22230174
К;17653469
М;16203060
Д;15052118
П;14201572
У;13245712
Я;10139085
Ы;9595941
Ь;8784613
Г;8564640
З;8329904
Б;8051767
Ч;7300193
Й;6106262
Х;4904176
Ж;4746916
Ш;3678738
Ю;3220715
Ц;2438807
Щ;1822476
Э;1610107
Ф;1335747
Ё;185452
Ъ;184928
